"asylum","location","latitude","longitude","location_pcode","location_level","location_id"
"AFG","Badakhshan : Wilayat - Province","36.997084225079","70.868858131116","20AFG015",1,2
"AFG","Badghis : Wilayat - Province","35.1671339","63.7695384","20AFG029",1,3
"AFG","Baghlan : Wilayat - Province","36.1789026","68.7453064","20AFG009",1,5
"AFG","Balkh : Wilayat - Province","36.7550603","66.8975372","20AFG018",1,6
"AFG","Bamyan : Wilayat - Province","34.9073296","67.1894488","20AFG010",1,7
"AFG","Daykundi : Wilayat - Province","33.669495","66.0463534","20AFG022",1,10
"AFG","Farah : Wilayat - Province","32.495328","62.2626627","20AFG031",1,11
"AFG","Faryab : Wilayat - Province","36.0795613","64.905955","20AFG028",1,12
"AFG","Ghazni : Wilayat - Province","33.4982289","67.7615983","20AFG011",1,13
"AFG","Ghor : Wilayat - Province","34.0995776","64.905955","20AFG021",1,14
"AFG","Helmand : Wilayat - Province","31.3636474","63.9586111","20AFG032",1,15
"AFG","Herat : Wilayat - Province","34.352865","62.2040287","20AFG030",1,16
"AFG","Jawzjan : Wilayat - Province","36.8969692","65.6658568","20AFG027",1,17
"AFG","Kabul : Wilayat - Province","34.5553494","69.207486","20AFG001",1,19
"AFG","Kandahar : Wilayat - Province","31.628871","65.7371749","20AFG033",1,20
"AFG","Kapisa : Wilayat - Province","34.9810572","69.6214562","20AFG002",1,21
"AFG","Khost : Wilayat - Province","33.3338472","69.9371673","20AFG026",1,22
"AFG","Kunar : Wilayat - Province","34.8465893","71.097317","20AFG013",1,23
"AFG","Kunduz : Wilayat - Province","36.7285907","68.8680663","20AFG017",1,24
"AFG","Laghman : Wilayat - Province","34.6897687","70.1455805","20AFG007",1,25
"AFG","Logar : Wilayat - Province","34.0145518","69.1923916","20AFG005",1,26
"AFG","Nangarhar : Wilayat - Province","34.1718313","70.6216794","20AFG006",1,30
"AFG","Nimroz : Wilayat - Province","31.0261488","62.4504154","20AFG034",1,31
"AFG","Nuristan : Wilayat - Province","35.3250223","70.9071236","20AFG014",1,33
"AFG","Paktia : Wilayat - Province","33.706199","69.3831079","20AFG012",1,34
"AFG","Paktika : Wilayat - Province","32.2645386","68.5247149","20AFG025",1,35
"AFG","Panjshir : Wilayat - Province","35.3350467","69.7167783","20AFG008",1,36
"AFG","Parwan : Wilayat - Province","34.9630977","68.8108849","20AFG003",1,38
"AFG","Samangan : Wilayat - Province","35.973505902664","67.831778892969","20AFG019",1,39
"AFG","Sar-e Pol : Wilayat - Province","36.216628","65.93336","20AFG020",1,40
"AFG","Takhar : Wilayat - Province","36.6698013","69.4784541","20AFG016",1,41
"AFG","Urozgan : Wilayat - Province","32.821883330513","66.049515801953","20AFG023",1,42
"AFG","Wardak : Wilayat - Province","34.3513494","68.2385339","20AFG004",1,43
"AFG","Zabul : Wilayat - Province","32.1918782","67.1894488","20AFG024",1,45
"ALB","Babrru Centre","41.3558299","19.8291167","ALBs002431",3,49
"ALB","Tirana Urban : Point","41.3275459","19.8186982","ALBs003136",3,69
"ALB","Albania : Dispersed in the country/territory","41.153332","20.168331","ALB",0,47
"ALB","Mamurras","41.5780148","19.6966667","ALBr000000227",3,62
"ALB","Saranda","39.873949024789","20.002805386789","ALBr000000188",3,3607
"ALG","Algeria : Dispersed in the country / territory","28.033886","1.659626","DZA",0,70
"ALG","Tindouf : Wilaya - Province","27.6761012","-8.1276526","20DZA044",1,78
"ANG","Luanda","-8.8193143056718","13.231887323376","AGOs003138",3,92
"ANG","Cabinda","-5.5705739","12.197583","AGOr000000513",3,84
"ANG","Lunda Norte","-8.5369801877629","19.527396957734","20AGO012",1,93
"ANG","Lunda Sul","-10.179446445739","21.020830961075","20AGO013",1,94
"ANG","Bengo","-9.1042257","13.7289167","20AGO001",1,80
"ANG","Bie","-12.5727907","17.668887","20AGO003",1,82
"ANG","Cunene","-17.178632778056","15.913364297869","20AGO008",1,4128
"ANG","Huambo","-12.7739761","15.7468535","AGOr000000217",3,85
"ANG","Kwanza Norte","-9.2398513","14.6587821","20AGO006",1,90
"ANG","Kwanza Sul","-10.595191","15.4068079","20AGO007",1,91
"ANG","Moxico","-13.4293579","20.3308814","20AGO015",1,98
"ANG","Uige","-7.6102105","15.0615865","AGOr000000119",3,101
"ANG","Zaire","-6.5733458","13.1740348","20AGO018",1,103
"ANG","Malanje","-9.5418224","16.3346061","AGOr000000608",3,97
"AIA","The Valley","18.214629629705","-63.057452294609","AIAr000000001",3,3605
"ANT","St. John","17.115692212978","-61.840829200616","ATGr000000015",3,104
"ARG","Argentina : Dispersed in the country / territory","-35.381377641726","-65.035968264648","ARG",0,105
"ARM","Yerevan : City","40.1791857","44.4991029","ARMs003145",3,160
"ARM","Aragatsotn : Marz - Province","40.376329868047","44.194705493237","20ARM002",1,114
"ARM","Ararat : Marz - Province","39.9753273","44.8338058","20ARM003",1,115
"ARM","Armavir : Marz - Province","40.1315615","43.8325355","20ARM004",1,117
"ARM","Gergharkunik : Marz - Province","40.3863696","45.3355097","20ARM005",1,128
"ARM","Kotayk : Marz - Province","40.4277896","44.6641741","20ARM007",1,135
"ARM","Lori : Marz - Province","40.9698452","44.4900138","20ARM006",1,136
"ARM","Shirak : Marz - Province","40.8384463","43.9142396","20ARM008",1,144
"ARM","Syunik : Marz - Province","39.2028881","46.4798169","20ARM009",1,148
"ARM","Tavush : Marz - Province","40.9152268","45.4032387","20ARM011",1,151
"ARM","Vayots Dzor : Marz - Province","39.8107912","45.4967174","20ARM010",1,156
"ABW","Aruba : Dispersed in the country / territory","12.52111","-69.968338","ABW",0,161
"AUL","Australia : Dispersed in the country / territory","-25.274398","133.775136","AUS",0,163
"AUS","Austria : Dispersed in the country / territory","47.516231","14.550072","AUT",0,164
"AZE","Aghdam : Rayon","39.9931853","46.9949562","20AZE002002",2,166
"AZE","Aghjabedi : Rayon","40.0529597","47.4553529","20AZE003004",2,168
"AZE","Aghsu : Rayon","40.5742298","48.3896404","20AZE006006",2,170
"AZE","Baku : Municipality","40.4092617","49.8670924","20AZE001019",2,174
"AZE","Fuzuli : Rayon","39.6024762","47.1523402","20AZE002015",2,180
"AZE","Sabirabad : Rayon","39.9870663","48.4692545","20AZE003060",2,215
"AZE","Shaki : Municipality","41.1974753","47.1571241","20AZE069069",2,219
"AZE","Shirvan : Municipality","39.9265747","48.9205727","20AZE003070",2,224
"AZE","Zagatala : Rayon","41.603085","46.638308","20AZE069081",2,231
"AZE","Absheron : Rayon","40.338309256429","49.242181637329","20AZE001001",2,165
"AZE","Aghdash : Rayon","40.6335427","47.467431","20AZE003003",2,167
"AZE","Aghstafa : Rayon","41.1124969","45.447689","20AZE018005",2,169
"AZE","Astara : Rayon","38.4687834","48.8728029","20AZE046007",2,172
"AZE","Balakan : Rayon","41.7037509","46.4044213","20AZE069009",2,175
"AZE","Barda : Rayon","40.3706555","47.1378909","20AZE003010",2,176
"AZE","Beylagan : Rayon","39.7723073","47.6154166","20AZE003011",2,177
"AZE","Bilasuvar : Rayon","39.4598833","48.5509813","20AZE003012",2,178
"AZE","Dashkasan : Rayon","40.5202257","46.0779304","20AZE018014",2,179
"AZE","Gabala : Point","40.9981633","47.8699826","AZEr000000200",3,181
"AZE","Gadabay : Rayon","40.5087904","45.6728851","20AZE018021",2,182
"AZE","Gakh : Point","41.4206827","46.9320184","AZEr000000192",3,183
"AZE","Ganja : Point","40.6878581","46.3723313","AZEs003148",3,184
"AZE","Gazakh : Point","41.09004183871","45.347320383443","AZEr000000108",3,185
"AZE","Gobustan : Point","40.5326104","48.927375","AZEr000000078",3,187
"AZE","Goranboy : Rayon","40.6073164","46.7807131","AZEs002228",3,188
"AZE","Goychay : Rayon","40.6236168","47.7403034","20AZE003024",2,189
"AZE","Goygol : Rayon","40.5895257","46.3271378","20AZE018025",2,190
"AZE","Guba : Point","41.3643024","48.5260928","20AZE026026",2,191
"AZE","Gusar : Point","41.4266886","48.4345577","AZEr000000055",3,192
"AZE","Hajigabul : Rayon","40.039377","48.9202532","20AZE003029",2,193
"AZE","Imishli : Rayon","39.8694686","48.0665217","20AZE003030",2,194
"AZE","Ismayilli : Rayon","40.7871438","48.1523426","20AZE006031",2,195
"AZE","Jabrayil (Jojug Marjanli) : Point","39.322985563547","47.179548715871","AZEr000000201",3,4323
"AZE","Jalilabad : Point","39.2051632","48.5100604","AZEr000000038",3,196
"AZE","Khachmaz : Point","41.4591168","48.8020626","AZEr000000035",3,197
"AZE","Khizi : Point","40.9109489","49.0729264","AZEr000000238",3,199
"AZE","Kurdamir : Rayon","40.3698651","48.1644626","20AZE003044",2,200
"AZE","Lachin (Takhta Korpu) : Point","39.6383414","46.5460853","AZEr000000097",3,201
"AZE","Lankaran : Municipality","38.7528669","48.8475015","20AZE046046",2,202
"AZE","Masalli : Rayon","39.0340722","48.6589354","20AZE046048",2,203
"AZE","Mingechavir : Municipality","40.7702563","47.0496015","20AZE003049",2,204
"AZE","Naftalan : Municipality","40.5075632","46.8239786","20AZE018050",2,205
"AZE","Nakhchivan : Autonomous republic","39.2009126","45.4082269","20AZE051051",2,206
"AZE","Neftchala : Rayon","39.3881052","49.2413743","20AZE003054",2,207
"AZE","Oghuz : Rayon","41.0727924","47.4650672","20AZE069056",2,208
"AZE","Saatli : Rayon","39.9095503","48.3595122","20AZE003058",2,214
"AZE","Salyan : Rayon","39.5779145","48.9718588","20AZE003062",2,216
"AZE","Samukh : Rayon","40.9576728","46.5294636","20AZE018063",2,217
"AZE","Shabran : Point","41.2159825","48.994559","AZEr000000106",3,218
"AZE","Shamakhi : Rayon","40.6318731","48.6363801","20AZE006066",2,220
"AZE","Shamkir : Rayon","40.8288144","46.0166879","20AZE018067",2,221
"AZE","Siyazan : Rayon","41.0783833","49.1118478","20AZE026072",2,225
"AZE","Sumgayit : Municipality","40.5854765","49.6317411","20AZE001073",2,226
"AZE","Tartar : Rayon","40.3443875","46.9376519","20AZE002075",2,227
"AZE","Tovuz : Rayon","40.9954523","45.6165907","20AZE018076",2,228
"AZE","Ujar : Rayon","40.5067525","47.6489641","20AZE003077",2,229
"AZE","Yevlakh : Municipality","40.6196638","47.1500324","20AZE003080",2,230
"AZE","Zardab : Rayon","40.2148114","47.714944","20AZE003083",2,232
"AZE","Azerbaijan : Dispersed in the country/territory","40.143105","47.576927","AZE",0,173
"BHS","Bahamas : Dispersed in the country / territory","25.03428","-77.39628","BHS",0,233
"BAH","Bahrain : Dispersed in the country / territory","26.0667","50.5577","BHR",0,236
"BGD","Dhaka : Zila - District","23.810332","90.4125181","20BGD030026",2,243
"BGD","Cox's Bazar : Zila - District","21.5225389","91.958344","20BGD020022",2,242
"BGD","Bandarban : Zila - District","21.798832342782","92.467656596582","20BGD020003",2,237
"BGD","Barisal","22.7029212","90.3465971","BGDr000000409",3,240
"BGD","Bhasan Char","22.3729","91.37659","BGDs032275",3,4778
"BGD","Camp 10","21.189743","92.154259","BGDs032263",3,3785
"BGD","Camp 11","21.18276","92.155749","BGDs032264",3,3795
"BGD","Camp 12","21.179848","92.151807","BGDs032265",3,3796
"BGD","Camp 13","21.178584","92.139856","BGDs032267",3,3798
"BGD","Camp 14","21.167026","92.144114","BGDs032268",3,3793
"BGD","Camp 15","21.160567","92.142901","BGDs032269",3,3782
"BGD","Camp 16","21.156461","92.149144","BGDs032270",3,3779
"BGD","Camp 17","21.197513","92.142851","BGDs032259",3,3799
"BGD","Camp 18","21.188976","92.14759","BGDs032262",3,3786
"BGD","Camp 19","21.183266","92.142411","BGDs032266",3,3790
"BGD","Camp 1E","21.216533","92.15566","BGDs032247",3,3797
"BGD","Camp 1W","21.21342","92.152348","BGDs032248",3,3791
"BGD","Camp 20","21.190871","92.140296","BGDs032261",3,3807
"BGD","Camp 20 Extension","21.194559","92.13437","BGDs032260",3,3776
"BGD","Camp 21","21.132213","92.158584","BGDs000044",3,3811
"BGD","Camp 22","21.088437","92.196866","BGDs032246",3,3801
"BGD","Camp 24","20.971724","92.247979","BGDs000041",3,3804
"BGD","Camp 25","20.980258","92.247219","BGDs032272",3,3802
"BGD","Camp 26","20.956998269302","92.254368386925","BGDs000036",3,3805
"BGD","Camp 27","20.936073","92.260864","BGDs032274",3,3803
"BGD","Camp 2E","21.206630233851","92.164367186508","BGDs032251",3,3780
"BGD","Camp 2W","21.208912","92.158323","BGDs032250",3,3794
"BGD","Camp 3","21.209166","92.149164","BGDs032249",3,3788
"BGD","Camp 4","21.208249","92.142885","BGDs032257",3,3810
"BGD","Camp 4 Extension","21.206272","92.136679","BGDs032258",3,3809
"BGD","Camp 5","21.2022","92.150814","BGDs032254",3,3789
"BGD","Camp 6","21.203955","92.156858","BGDs032253",3,3792
"BGD","Camp 7","21.203122","92.165297","BGDs032252",3,3781
"BGD","Camp 8E","21.195558","92.164966","BGDs032256",3,3808
"BGD","Camp 8W","21.19679","92.154084","BGDs032255",3,3787
"BGD","Camp 9","21.189991","92.160313","BGDs032245",3,3784
"BGD","Chittagong : Zila - District","22.3475365","91.8123324","20BGD020015",2,241
"BGD","Kutupalong","21.212083","92.163801","BGDs000035",3,3918
"BGD","Nayapara","20.957341","92.249869","BGDs032273",3,3917
"BGD","Other","21.134749524594","92.161393180684","BGDs000039",3,4793
"BGD","Rangamati : Zila - District","22.6573498","92.1732708","20BGD020084",2,249
"BAR","Barbados : Dispersed in the country / territory","13.193887","-59.543198","BRB",0,250
"BLR","Belarus : Dispersed in the country / territory","53.709807","27.953389","BLR",0,251
"BLR","Gomel : Oblast - Region","52.4411761","30.9878462","20BLR002",1,253
"BLR","Grodno : Oblast - Region","53.6693538","23.8131306","20BLR003",1,254
"BLR","Horad Minsk : City","53.9029742","27.5549986","BLRs003160",3,255
"BLR","Minsk : Oblast - Region","53.9045398","27.5615244","20BLR005",1,256
"BLR","Vitebsk : Oblast - Region","55.1848061","30.201622","20BLR007",1,258
"BLR","Brest : Oblast - Region","52.0976214","23.7340503","20BLR001",1,252
"BLR","Mogilev : Oblast - Region","53.9007159","30.3313598","20BLR006",1,257
"BEL","Belgium : Dispersed in the country / territory","50.503887","4.469936","BEL",0,259
"BZE","Belize : Dispersed in the country / territory","17.25489801554","-88.538420254956","BLZ",0,260
"BEN","Benin : Dispersed in the country / territory","9.30769","2.315834","BEN",0,269
"BEN","Cotonou","6.3702928","2.3912362","BENs003154",3,271
"BOL","Dispersed in country","12.565679","104.990963","KHM",0,261
"BSN","Federation of Bosnia and Herzegovina : Entity","43.8874897","17.842793","20BIH002",1,293
"BSN","Brcko : District","44.8726563","18.8106276","20BIH001001",2,291
"BSN","Republika Srpska : Entity","44.7280186","17.3148136","20BIH003",1,297
"BOT","Dukwi : Point","-20.586048","26.5078971","BWAs000079",3,299
"BOT","Gaborone","-24.6282079","25.9231471","BWAr000000071",3,300
"BOT","Dispersed in country","12.565679","104.990963","KHM",0,261
"BRA","Brazil : Dispersed in the country / territory","-14.235004","-51.92528","BRA",0,306
"BVI","British Virgin Islands : Dispersed in the country / territory","18.420695","-64.639968","VGB",0,331
"BRU","Brunei Darussalam : Dispersed in the country / territory","4.536303742534","114.64170956549","BRN",0,333
"BUL","Bulgaria : Dispersed in the country / territory","42.733883","25.48583","BGR",0,334
"BKF","Ouagadougou : Point","12.471226","-1.470112","BFAs003156",3,348
"BKF","Bobo-Dioulasso : Department","11.1649219","-4.3051542","BFAr000000052",3,336
"BKF","Boucle du Mouhoun","12.451963873796","-3.4686409414211","20BFA046",1,4524
